46 2
the -0.02676635 0.012319097
of 0.25507477 0.4504298
and -0.46498376 -0.3556208
, 0.32256943 0.44931883
a -0.25121772 -0.18769968
bank 0.36906847 -0.076611735
river -0.22732602 0.3278656
were -0.24300961 -0.090517
side 0.14416392 0.049559575
other -0.4144561 -0.47173142
on 0.36544606 0.25371224
view 0.33798534 0.03821327
peaceful 0.31698737 -0.16963014
enjoying -0.047320068 0.28842866
people -0.3764565 -0.19640195
was -0.37557912 -0.046502113
financial 0.47727892 -0.3660126
grass -0.11673713 -0.09670588
green 0.40354693 -0.29592058
lush 0.002258122 -0.2376867
with -0.4801392 0.25062588
covered -0.43780345 -0.21937822
where -0.0021822797 -0.014727295
them -0.38286418 0.48076892
visited 0.24909203 0.461613
is -0.40781444 0.22477162
who -0.2068538 0.041226804
those 0.42490175 -0.22304933
to 0.22587502 -0.33934802
support -0.17736164 0.46986654
stability -0.07863285 0.0164046
sense -0.20703149 -0.3841344
offered -0.075224765 0.12381911
places -0.04444342 0.276608
both -0.13748117 0.1132147
activities 0.27285436 0.41746476
in -0.07268703 -0.46040714
difference 0.21852762 0.028589249
despite 0.3720954 -0.040664136
workers -0.13223924 -0.43702772
customers -0.04296117 0.1415392
crowd 0.27031505 0.3527265
busy -0.28551698 0.09370436
had 0.30450118 -0.23936784
located -0.15513198 0.33985403
institution 0.08121858 0.009592523
